lat,lng,country,region,city,potential,actual
37.775,-122.4183,United States,California,San Francisco,120,80
-34.9286212,138.5999594,Australia,South Australia,Adelaide,175,120
-23.7002104,133.8806114,Australia,Northern Territory,Alice Springs,210,60
-27.4710107,153.0234489,Australia,Queensland,Brisbane,220,80
-35.3082355,149.1242241,Australia,Australian Capital Territory,Canberra,120,50
-12.4628198,130.8417694,Australia,Northern Territory,Darwin,180,90
-31.9530044,115.8574693,Australia,Western Australia,Perth,250,75
-37.814107,144.96328,Australia,Victoria,Melbourne,150,100
-33.8674869,151.2069902,Australia,New South Wales,Sydney,200,90


